identifiant;libelle_du_site;caracteristique_du_site;adresse;complement_d_adresse;lieu_dit;code_postal;localite;pays;latitude;longitude;precision_du_geocodage;numero_de_telephone;identifiant_du_site;site_acores_de_rattachement;code_insee;latlong;dep
FERRIERES EN BRIE BP;Bureau de Poste;11 RUE JEAN JAURES;;;77164;FERRIERES EN BRIE;FRANCE;48.820964;2.705598;Géocodé au numéro;3631;14716A;;77181;48.820964, 2.705598;77
GRISY SUISNES BP;Bureau de Poste;4 RUE DES FLEURS;;;77166;GRISY SUISNES;FRANCE;48.686172;2.666996;Géocodé au numéro;3631;14731A;;77217;48.686172, 2.666996;77
LONGUEVILLE BP;Bureau de Poste;PLACE DE LA MAIRIE;;;77650;LONGUEVILLE;FRANCE;48.514652;3.246746;Géocodé au numéro;3631;14753A;;77260;48.514652, 3.246746;77
EMERAINVILLE BP;Bureau de Poste;18 RUE D EMERY;;;77184;EMERAINVILLE;FRANCE;48.811469;2.621797;Géocodé au numéro;3631;14709A;;77169;48.811469, 2.621797;77
CONCIERGERIE DES 3 CLES RP;Relais poste commerçant;23 ESPLANADE DU BELVEDERE;CONCIERGERIE DES 3 CLES;;92130;ISSY LES MOULINEAUX;FRANCE;48.817813;2.268188;Géocodé au numéro;3631;20348B;17115A;92040;48.817813, 2.268188;92
OSNY ESPACE EPARGNE ET PREVOYANCE BP;Bureau de Poste;CHEMIN DES HAYETTES;CENTRE COMMERCIAL LECLERC;;95520;OSNY;FRANCE;49.067494;2.086788;Géocodé au milieu d un îlot;3631;17513A;;95476;49.067494, 2.086788;95
SAINT GRATIEN LES RAGUENETS BP;Bureau de Poste;2 ALLEE DES RAGUENETS;SQUARE GEORGETTE AGUTTE;;95210;ST GRATIEN;FRANCE;48.961428;2.28458;Géocodé au numéro;3631;17550A;;95555;48.961428, 2.28458;95
CORMEILLES EN VEXIN AP;Agence postale communale;7 PLACE DE L EGLISE;;;95830;CORMEILLES EN VEXIN;FRANCE;49.115595;2.018755;Géocodé au numéro;3631;17443A;17469A;95177;49.115595, 2.018755;95
GOUSSAINVILLE;Bureau de Poste;23 RUE DE LA REPUBLIQUE;;;95190;GOUSSAINVILLE;FRANCE;49.033993;2.47024;Géocodé au numéro;3631;17460A;;95280;49.033993, 2.47024;95
ENGHIEN LES BAINS;Bureau de Poste;1 RUE DE MORA;;;95880;ENGHIEN LES BAINS;FRANCE;48.969596;2.308199;Géocodé au numéro;3631;17448A;;95210;48.969596, 2.308199;95
PARMAIN BP;Bureau de Poste;7 PLACE GEORGES CLEMENCEAU;;;95620;PARMAIN;FRANCE;49.114494;2.209098;Géocodé au numéro;3631;17483A;;95480;49.114494, 2.209098;95
L ISLE ADAM;Bureau de Poste;46 B GRANDE RUE;;;95290;L ISLE ADAM;FRANCE;49.111997;2.218918;Géocodé au numéro;3631;17464A;;95313;49.111997, 2.218918;95
SAINT PRIX BP;Bureau de Poste;60 RUE D ERMONT;;;95390;ST PRIX;FRANCE;49.006854;2.261196;Géocodé au numéro;3631;17497A;;95574;49.006854, 2.261196;95
VAUREAL BP;Bureau de Poste;30 MAIL MENDES FRANCE;;;95490;VAUREAL;FRANCE;49.022896;2.028767;Géocodé au numéro;3631;17506A;;95637;49.022896, 2.028767;95
MORSANG SUR ORGE RPC RP;Relais poste commerçant;;25 RUE JEAN RAYNAL;;91390;MORSANG SUR ORGE;FRANCE;48.664132;2.352456;Géocodé au numéro;3631;20409B;16975A;91434;48.664132, 2.352456;91
FONTENAY AGENCE POSTALE AP;Agence postale communale;10 PLACE DE STALINGRAD;;;95190;FONTENAY EN PARISIS;FRANCE;49.0539;2.4509;Géocodé au numéro;3631;11715D;17460A;95241;49.0539, 2.4509;95
NANTERRE SEINE ARCHE;Bureau de Poste;81 PLACE NELSON MANDELA;PLACE DE LA CROISEE;;92000;NANTERRE;FRANCE;48.897664;2.219038;Géocodé au numéro;3631;20371B;;92050;48.897664, 2.219038;92
GOUSSAINVILLE GRANDES BORNES BP;Bureau de Poste;RUE ROBERT PELTIER;;;95190;GOUSSAINVILLE;FRANCE;49.036196;2.460815;Géocodé au milieu d un îlot;3631;17434A;;95280;49.036196, 2.460815;95
LEVALLOIS FRONT DE SEINE BP;Bureau de Poste;44 AVENUE GEORGES POMPIDOU;;;92300;LEVALLOIS PERRET;FRANCE;48.899215;2.2832;Géocodé au numéro;3631;17117A;;92044;48.899215, 2.2832;92
VILLEBON SUR YVETTE BP;Bureau de Poste;10 PLACE GERARD NEVERS;;;91140;VILLEBON SUR YVETTE;FRANCE;48.699893;2.227009;Géocodé au numéro;3631;17004A;;91661;48.699893, 2.227009;91
MONTGERON BP;Bureau de Poste;CENTRE COMMERCIAL LA FORET;;;91230;MONTGERON;FRANCE;48.696593;2.456571;Géocodé au milieu d un îlot;3631;17050A;;91421;48.696593, 2.456571;91
EVRY VILLAGE BP;Bureau de Poste;PLACE DU GENERAL DE GAULLE;;;91000;EVRY;FRANCE;48.636092;2.446802;Géocodé au numéro;3631;17012A;;91228;48.636092, 2.446802;91
